WKT;WKT_2;ID;CO_FRAC_RA;COMUNA;FRACCION;RADIO;TOTAL_POB;T_VARON;T_MUJER;I_MASCULINIDAD;T_VIVIENDA;V_PARTICUL;V_PARTICUL_POR;V_COLECTIV;V_COLECTIV_POR;T_HOGAR;H_CON_NBI;H_CON_NBI_POR;H_SIN_NBI;H_SIN_NBI_POR;H_CON_NBI_POR_NUMBER;NBI
"MULTIPOLYGON (((-58.3724897640821 -34.5915465708107,-58.3726119195164 -34.5915127160526,-58.372623878948 -34.5916825496944,-58.3736907626257 -34.5911648295757,-58.3737502692039 -34.5911535188844,-58.3739745417299 -34.5911309739871,-58.3741530451682 -34.5911121801701,-58.374001304695 -34.590945612853,-58.3735516937449 -34.5904958460311,-58.3737909069729 -34.5903576900843,-58.3734976811433 -34.5899830951109,-58.3726893235965 -34.5889914059596,-58.3772513488885 -34.5864186669828,-58.3772147454051 -34.5862397609208,-58.3771413848715 -34.5860322363801,-58.3770537566925 -34.5858590053353,-58.3770532176402 -34.5858118710261,-58.3769275628094 -34.585686321587,-58.3766327692747 -34.5856386794102,-58.3755367870144 -34.5843118246194,-58.3756481811196 -34.5842222129066,-58.3757794905326 -34.5841916226563,-58.3764362898041 -34.5837931987455,-58.3772901033118 -34.5832910562935,-58.3767105119888 -34.5825891236038,-58.37662456939 -34.5824729278449,-58.3765024522448 -34.5822967657414,-58.3763803317411 -34.5821243498051,-58.3759279469754 -34.5815733234387,-58.3758329630304 -34.5814421354896,-58.3751269621437 -34.5805351929169,-58.3739717397656 -34.5791022963031,-58.3739726628069 -34.5791002663181,-58.3738505825076 -34.5789449855822,-58.3743037280201 -34.5786997740452,-58.3680091460423 -34.5782103146619,-58.367976707758 -34.5782082471541,-58.3679498041206 -34.5782060430833,-58.3679285122827 -34.5782107450584,-58.3679094285606 -34.5782204489518,-58.3678777326762 -34.5782394392046,-58.3654290036212 -34.5796403166919,-58.3653334043613 -34.5796950314547,-58.3653152564566 -34.5797048765369,-58.3652929240805 -34.5797252116666,-58.3652425456341 -34.5801381461791,-58.3652507831981 -34.580156815495,-58.3652752942103 -34.5801667650478,-58.3653021135059 -34.5801687583643,-58.3705629521872 -34.5805825782406,-58.3705900267242 -34.5805849931405,-58.3706087477124 -34.5805955710813,-58.3706166404915 -34.5806191695544,-58.3705969566128 -34.580786767216,-58.3705901210309 -34.5808082418126,-58.3705720550759 -34.5808213273063,-58.3698305350582 -34.581244867229,-58.3690273190929 -34.5817042018109,-58.3690087457538 -34.5817137654111,-58.3689877011772 -34.5817250173208,-58.3689510835617 -34.5817279470673,-58.3689294574809 -34.5817262402442,-58.3688982103754 -34.581723751344,-58.368871305739 -34.581721406625,-58.3652059583363 -34.5814281698256,-58.3626691758005 -34.5812274470099,-58.3626392047036 -34.5812262956361,-58.3626122852947 -34.5812365556746,-58.3605446208912 -34.5824106651636,-58.3605253613461 -34.5824233960391,-58.3605091571177 -34.5824443692415,-58.3605055533948 -34.5824667615007,-58.360465333313 -34.582838221781,-58.3604712640201 -34.582862593935,-58.3604898032398 -34.5828819060196,-58.3605101421839 -34.582891782606,-58.3605379830123 -34.5828946229293,-58.3652034746267 -34.583263383423,-58.3660922860967 -34.5833338113367,-58.3661149319042 -34.5833376322311,-58.36613926355 -34.5833563142128,-58.3661418762755 -34.5833796270847,-58.3661442456725 -34.583539705873,-58.3661427763514 -34.5835585082897,-58.3661316015617 -34.5835757536689,-58.3661131915041 -34.5835907397088,-58.3660721099655 -34.5836240183998,-58.3655375476292 -34.5840467097267,-58.3652025910765 -34.5843115941704,-58.3649867903901 -34.5844784001616,-58.3649591806723 -34.584495773122,-58.3649341416789 -34.5844993447613,-58.3649091951779 -34.584496648611,-58.3605244274675 -34.584160507894,-58.3599495410014 -34.5841115021711,-58.3599067788625 -34.584124354007,-58.3598948985988 -34.5841601905171,-58.3597091190953 -34.5858676377885,-58.3597085756768 -34.585893976414,-58.3597173247059 -34.5859116605616,-58.3597319540408 -34.5859255467006,-58.3597507619095 -34.585934577013,-58.3597790294951 -34.5859374178688,-58.3598019333484 -34.585939479517,-58.3598370987423 -34.5859420444734,-58.3636144325425 -34.5862353925756,-58.3636356321545 -34.5862385789263,-58.3636534125681 -34.5862527488543,-58.3636554273554 -34.5862771176629,-58.3635216950966 -34.5874576196218,-58.3634970454428 -34.5874910516253,-58.3634416130531 -34.5874878374136,-58.3596515471886 -34.5871846840987,-58.3596149331193 -34.5871825404173,-58.3595922758699 -34.587187380626,-58.3595687547986 -34.587202150074,-58.3595562115041 -34.5872227740991,-58.3595519258139 -34.5872453770119,-58.359455945544 -34.5880799065262,-58.3594784217584 -34.5880839397825,-58.359501238599 -34.5880879733226,-58.3595242259278 -34.588091866152,-58.3595470431209 -34.5880956179825,-58.3595697747249 -34.5880997218632,-58.3595919952212 -34.5881039661582,-58.3596137042619 -34.5881086325696,-58.3596346462922 -34.5881137913065,-58.3596369214178 -34.5881333010449,-58.3596377495871 -34.5881522461585,-58.3596410474568 -34.5881710525071,-58.3596449417685 -34.5881895776578,-58.3596517318243 -34.5882077531269,-58.3596597145905 -34.5882255070504,-58.3596694865085 -34.5882425582307,-58.3596800250967 -34.5882593987812,-58.3596938870397 -34.5882744110773,-58.3597086863142 -34.5882889311854,-58.3597256168448 -34.5883015516063,-58.3597434850544 -34.5883133981371,-58.3597633148154 -34.5883228518586,-58.3597841685396 -34.5883306162325,-58.3598052782574 -34.5883379582666,-58.3598347351141 -34.588343828401,-58.3608324278462 -34.5885522791261,-58.3608136339019 -34.5886707892633,-58.3607972244261 -34.5887194394632,-58.3607402454872 -34.5889360201718,-58.3607725980405 -34.5889418220739,-58.3608472704954 -34.5886710286165,-58.3608762660714 -34.5885665416264,-58.3614053889026 -34.5886697325036,-58.3634673182689 -34.5890349676776,-58.3645304960114 -34.5892488648233,-58.3651908654204 -34.5893750316155,-58.365639921829 -34.5894573270005,-58.3668219789845 -34.5896931486444,-58.3679908386115 -34.5899234861003,-58.3679750334129 -34.5901116159819,-58.3679315748821 -34.5904406450255,-58.3677743409839 -34.5905285523551,-58.3677286880625 -34.5905578600124,-58.3675308838587 -34.5906625029764,-58.3674616032482 -34.5906479968588,-58.3674283960491 -34.5906438862712,-58.3673950173297 -34.5906408319203,-58.3673614673303 -34.5906386225302,-58.367327916206 -34.5906373990843,-58.3672942788775 -34.5906370910908,-58.3672606402608 -34.590637909892,-58.3672270858354 -34.5906395738535,-58.3671937005171 -34.5906422943177,-58.3671603993878 -34.5906458599425,-58.3671271822047 -34.5906504820034,-58.3670943045231 -34.5906560902756,-58.3670615961859 -34.5906625437754,-58.367029227348 -34.5906699834869,-58.3669971980892 -34.590678338985,-58.3669655084085 -34.5906876102702,-58.3669342434636 -34.5906977974095,-58.3669034031729 -34.5907089708282,-58.3668730729366 -34.590720919318,-58.3668433378319 -34.5907337133716,-58.3668141125378 -34.5907474937727,-58.3667853973771 -34.5907619788205,-58.3667573625859 -34.5907772390752,-58.3667300079209 -34.5907934858124,-58.3667034188643 -34.5908104373987,-58.366677510338 -34.5908280233421,-58.3666522820179 -34.5908465253448,-58.3666279897852 -34.5908655914814,-58.3666043779204 -34.5908854328271,-58.366581701981 -34.5909059791582,-58.3665599620482 -34.5909271600505,-58.3665389879667 -34.5909488345194,-58.3665190349701 -34.5909712140423,-58.3664999329031 -34.5909941576351,-58.3664815960387 -34.5910181582076,-58.3663638701507 -34.5911969456003,-58.366268193955 -34.5911598967518,-58.3662285217732 -34.5912231777431,-58.3663184005264 -34.5912659969184,-58.3658962889928 -34.5919067442916,-58.3658018914712 -34.5918680763139,-58.3657600863281 -34.591934172463,-58.3658497094711 -34.5919775551783,-58.3651915322111 -34.5929767884179,-58.3650478833627 -34.5931798504836,-58.3643799593357 -34.594195339568,-58.3643682637298 -34.5942194155857,-58.3643625375266 -34.5942366651614,-58.3643589396314 -34.5942545502792,-58.3643573855471 -34.5942725074695,-58.3643579604374 -34.5942905368006,-58.3643607497979 -34.5943083566405,-58.3643655833053 -34.5943259668514,-58.3643724613758 -34.5943430153076,-58.3643813840104 -34.5943595020085,-58.3643921812174 -34.5943751451158,-58.3644047680007 -34.594389803709,-58.3644189740361 -34.5944034776528,-58.3644347996555 -34.5944158852438,-58.364452074617 -34.5944269559196,-58.3644704583533 -34.5944366189801,-58.3644900362749 -34.5944446632179,-58.3645102973232 -34.5944511586464,-58.3645955880007 -34.5944870737028,-58.3646147380641 -34.5944968782081,-58.3646344869182 -34.5945044295831,-58.3646552602088 -34.5945098690203,-58.3646767172844 -34.5945131962453,-58.3646984323304 -34.5945144109158,-58.364720235103 -34.5945134424698,-58.364741614625 -34.594510290497,-58.364762485567 -34.5945050957796,-58.3647823371175 -34.5944977170575,-58.3648010836997 -34.594488506389,-58.3648182995001 -34.5944774634328,-58.3648337288653 -34.5944647288353,-58.3648472863026 -34.5944505842294,-58.364858630997 -34.5944351701932,-58.3648675922942 -34.5944187682915,-58.3648738295454 -34.5944013782516,-58.3651912838275 -34.5939182332952,-58.3656777373055 -34.5931788739436,-58.3658929794519 -34.5928510743507,-58.3659072192041 -34.5928356625093,-58.3659272422114 -34.5928268752289,-58.3659561986928 -34.5928253488317,-58.3659851415437 -34.5928355834392,-58.3660985192201 -34.5928845483875,-58.3661198875151 -34.5928906923002,-58.3661445101794 -34.592881063521,-58.3661689612129 -34.5928725614056,-58.3661928470621 -34.5928372972309,-58.3663799346196 -34.5929206172996,-58.366359370022 -34.5929559545578,-58.3663669270744 -34.5929752570507,-58.3663682652628 -34.5929963856914,-58.3663863037927 -34.593009921583,-58.3667777659801 -34.5931784759084,-58.3669114961876 -34.5932291463023,-58.3669775544799 -34.5931783510846,-58.367166013585 -34.5932551918951,-58.3671505978751 -34.5933308869999,-58.3691219069146 -34.5941732923529,-58.3690543239596 -34.5942171858771,-58.3678993852208 -34.5974866314194,-58.3678849414612 -34.5975127152805,-58.3678631419091 -34.5975197836817,-58.3678340039927 -34.597518886633,-58.3665017951265 -34.5974188922774,-58.3664821277252 -34.5974262240946,-58.3664627064785 -34.5974446066663,-58.366456756241 -34.5974713838432,-58.3664487149453 -34.5974964466287,-58.3664421279048 -34.5975554949591,-58.366426952144 -34.597688869495,-58.3663604025359 -34.5982579908119,-58.3660923220831 -34.5982376372526,-58.3661753987338 -34.5974673918875,-58.3661743823672 -34.5974242497147,-58.3661489307913 -34.5973936346057,-58.3661033578196 -34.5973858528899,-58.3638368441831 -34.5972078348575,-58.3638200978183 -34.5972004655142,-58.3638105962882 -34.5971876483101,-58.3643999392249 -34.5955249141113,-58.3644059426514 -34.5954892837705,-58.3644046864349 -34.5954712538944,-58.3644006194081 -34.5954535738802,-58.3643938264874 -34.5954364550718,-58.3643786200715 -34.5954141484399,-58.3643679333362 -34.5953988874096,-58.3643509895931 -34.5953835221769,-58.364313319387 -34.5953621366209,-58.3641474813395 -34.5953178681402,-58.3640824730369 -34.5953045824346,-58.3640670709134 -34.5953038398174,-58.3640471753346 -34.5953050226543,-58.3639972307572 -34.5953113284276,-58.3639704165427 -34.5953188067436,-58.3639441864069 -34.5953301437039,-58.3639222390005 -34.5953426019146,-58.3639013567609 -34.595357693198,-58.3638840577247 -34.5953754826946,-58.3638606047308 -34.5954073928196,-58.3638484279451 -34.5954353727677,-58.3638179795447 -34.595427929221,-58.3638094363408 -34.595452883261,-58.363820083473 -34.5954554880449,-58.3637924233902 -34.5955327733983,-58.3637997684979 -34.5955345732235,-58.3637917959837 -34.5955562735139,-58.3637846470807 -34.5955544828615,-58.3635825874623 -34.5961322791829,-58.3636000362245 -34.5961354664341,-58.3635325496429 -34.5963266707899,-58.3635226107302 -34.5963242738884,-58.3634951347677 -34.5964020911637,-58.3635050736889 -34.5964044880674,-58.3634145950768 -34.5966608299594,-58.3631379337714 -34.5966376662005,-58.3627661035258 -34.5965671482968,-58.362483013031 -34.5964986740777,-58.3622390675202 -34.5963853705575,-58.3620162271152 -34.5962856056096,-58.3616793408887 -34.5961248280608,-58.3610941512834 -34.5958578885871,-58.3611154060281 -34.5958261090033,-58.3609259300308 -34.5957393438483,-58.3609069969955 -34.5957667781267,-58.3604288267917 -34.5955377779654,-58.3603797424235 -34.5955123093604,-58.3603488376419 -34.5954772443472,-58.3603289843497 -34.5954705389854,-58.3603182470136 -34.5954293712087,-58.3603189432605 -34.5953827660535,-58.3603524366004 -34.5952572096204,-58.3603608123222 -34.5952150335803,-58.3603607210965 -34.5951944639834,-58.3603624060392 -34.595177697139,-58.3603592011359 -34.5951593951539,-58.3603370584496 -34.5951090399923,-58.3603234811973 -34.5950869793011,-58.3603094267974 -34.5950717781909,-58.3602945978319 -34.5950570722229,-58.360283914095 -34.5950488961809,-58.3602711176262 -34.5950407251259,-58.3602382259166 -34.5950243475863,-58.3602056617488 -34.5950181002813,-58.3601847032262 -34.5950149456534,-58.3601605371353 -34.5950139968632,-58.3601095722597 -34.5950079287824,-58.3600811797177 -34.5950021646086,-58.3600457415461 -34.5949949700406,-58.3600152505741 -34.5949959540036,-58.3598869314109 -34.5949910863387,-58.3595046053622 -34.5949466109317,-58.3594338314818 -34.5949410719761,-58.3593389935214 -34.5949309178497,-58.3593077918707 -34.5949275771295,-58.359260960895 -34.5949282495822,-58.3592340345314 -34.5949378029797,-58.3591995669401 -34.5949372390019,-58.3591452729516 -34.5949346148124,-58.3590841645074 -34.5949331296457,-58.3589434240321 -34.5949238153407,-58.358885983929 -34.5949177989342,-58.3588379801398 -34.5949148734684,-58.3588059691608 -34.5949197140126,-58.3587438705352 -34.5949343005654,-58.3586806434598 -34.594962155369,-58.3586736969582 -34.5949730208525,-58.3586730649341 -34.5949903280242,-58.358667017701 -34.5950138037747,-58.3585315231779 -34.59495046265,-58.3584999458009 -34.5949363729589,-58.3584759755745 -34.5949347502947,-58.3559316288795 -34.5947740376218,-58.3542612703442 -34.5946881248612,-58.3511400947457 -34.5951669496678,-58.3511383082587 -34.5953566032127,-58.3542795308719 -34.5948573025395,-58.35732317442 -34.595093242042,-58.3576885129925 -34.5951431492088,-58.3585157896017 -34.5951816778156,-58.359252361857 -34.5952403200459,-58.3632814134076 -34.5970858989454,-58.3634509301195 -34.5971256863433,-58.3634398206906 -34.5971575799367,-58.3635335606837 -34.5971803330759,-58.363499349393 -34.5973024226173,-58.3632336651729 -34.5980613902626,-58.3637307296019 -34.5981044016808,-58.3638616777082 -34.5981361991659,-58.3640886223846 -34.5981561722634,-58.3650687183131 -34.5982276672882,-58.3659609314573 -34.5982928169569,-58.3666064564148 -34.5983250183593,-58.3673594031048 -34.5982597613946,-58.367777702989 -34.5982929760832,-58.3679807014699 -34.5984018703661,-58.3681163318431 -34.5984371881812,-58.3695123426162 -34.59832128598,-58.3704784770947 -34.595927632361,-58.3721891715766 -34.5917628356131,-58.3722898663127 -34.5916141782274,-58.3723505411043 -34.5915345659399,-58.3724897640821 -34.5915465708107)))";;"1";1_1_1;COMUNA 1;"1";"1";"336";"212";"124";"170,97%";"82";"80";"97,56%";"2";"2,50%";"65";"19";"29.23";"46";"70,77%";"29.23";29.230
"MULTIPOLYGON (((-58.3865223305709 -34.6039930934744,-58.3863422007972 -34.6039824875315,-58.3851326494337 -34.6039115811284,-58.3850425622164 -34.6050741023789,-58.3850386271316 -34.6051839631136,-58.3864759318777 -34.6052759292113,-58.3864951041146 -34.6051737542899,-58.3865223305709 -34.6039930934744)))";;"2";1_12_1;COMUNA 1;"12";"1";"341";"184";"157";"117,20%";"365";"361";"98,90%";"4";"1,11%";"116";"25";"21.55";"91";"78,45%";"21.55";21.550
"MULTIPOLYGON (((-58.3793832787935 -34.6048381774772,-58.3780064642962 -34.6047443387825,-58.3780710188837 -34.6034915199651,-58.3766587039104 -34.6034050360748,-58.3766539540579 -34.6035510240969,-58.3765793937739 -34.6046573507563,-58.3765698790309 -34.6047984760462,-58.3765288717204 -34.6058256682707,-58.3765142693366 -34.6061917982487,-58.3765022819359 -34.6064175727616,-58.3767247081353 -34.6063011760998,-58.3775080537986 -34.6058899497881,-58.3779572468383 -34.6056541975237,-58.3793790356703 -34.604907895481,-58.3793832787935 -34.6048381774772)))";;"3";1_12_10;COMUNA 1;"12";"10";"296";"162";"134";"120,90%";"629";"627";"99,68%";"2";"0,32%";"101";"1";"0.99";"100";"99,01%";"0.99";0.990
"MULTIPOLYGON (((-58.3679211414675 -34.6051742616164,-58.3677246250643 -34.6069133278502,-58.368012847948 -34.6069224254328,-58.3681551318853 -34.6069644387104,-58.3683805472332 -34.6069157006283,-58.368828936543 -34.6068254468133,-58.3690821472615 -34.606767174167,-58.3692202138962 -34.6067370008298,-58.3692508180986 -34.6065895647965,-58.3693658778097 -34.6065238757988,-58.3694388120307 -34.6065019589293,-58.3696631849498 -34.6065297869318,-58.3698444435866 -34.606552622271,-58.3698461651104 -34.606552765321,-58.369846280498 -34.6065527749091,-58.3701924554836 -34.6067716916192,-58.3701942580999 -34.6067904624654,-58.3703036812934 -34.6071908112497,-58.3705822670259 -34.6073639186097,-58.3706240431428 -34.6073898739428,-58.3707576868857 -34.6075092242001,-58.3708238998349 -34.6075851742064,-58.3709272883214 -34.60769946955,-58.3709177655179 -34.6078389041119,-58.3721779351043 -34.6079293558925,-58.3731847364087 -34.6079929179132,-58.3735179240342 -34.6080139373185,-58.3735152807714 -34.6079368903127,-58.3735708970458 -34.6079405226344,-58.3750016982012 -34.6072030816653,-58.3755796751361 -34.6069005268443,-58.3765022819359 -34.6064175727616,-58.3765142693366 -34.6061917982487,-58.3765288717204 -34.6058256682707,-58.3765698790309 -34.6047984760462,-58.3765793937739 -34.6046573507563,-58.3766539540579 -34.6035510240969,-58.3766587039104 -34.6034050360748,-58.3752163283306 -34.6033166128095,-58.3738497535087 -34.6032328757761,-58.3725751605567 -34.6031547550013,-58.3724606131028 -34.603147205272,-58.3712742602673 -34.6030691361363,-58.3710940506202 -34.6030573103966,-58.3706149965323 -34.6030257514505,-58.3704725132662 -34.6030181787688,-58.3702634299368 -34.6030071046516,-58.3700744459009 -34.602997101813,-58.3699311110221 -34.6029895278527,-58.3691828693047 -34.6029241655204,-58.369010841054 -34.6029084695901,-58.3681856739856 -34.6028332257345,-58.3680475302255 -34.6040560083767,-58.3679211414675 -34.6051742616164)))";;"4";1_12_11;COMUNA 1;"12";"11";"528";"294";"234";"125,64%";"375";"370";"98,67%";"5";"1,35%";"136";"7";"5.15";"129";"94,85%";"5.15";5.150
"MULTIPOLYGON (((-58.3851326494337 -34.6039115811284,-58.383711459096 -34.6038282015075,-58.3837106354159 -34.6039784882801,-58.3836200555909 -34.6051005840969,-58.3837354593592 -34.6051072083773,-58.3849010800801 -34.6051751427688,-58.3850386271316 -34.6051839631136,-58.3850425622164 -34.6050741023789,-58.3851326494337 -34.6039115811284)))";;"5";1_12_2;COMUNA 1;"12";"2";"229";"101";"128";"78,91%";"445";"445";"100,00%";"0";"0,00%";"129";"16";"12.4";"113";"87,60%";"12.4";12.400
"MULTIPOLYGON (((-58.3821336065038 -34.6050143267812,-58.3821258737033 -34.6051720740155,-58.3820780919728 -34.606140810754,-58.3822098512333 -34.606146743032,-58.3834501740498 -34.606224459209,-58.3835814172853 -34.6062358828317,-58.3836145402619 -34.6051683295188,-58.3836200555909 -34.6051005840969,-58.3837106354159 -34.6039784882801,-58.383711459096 -34.6038282015075,-58.3822055302283 -34.6037398196994,-58.3821500263271 -34.6046808040886,-58.3821336065038 -34.6050143267812)))";;"6";1_12_3;COMUNA 1;"12";"3";"723";"374";"349";"107,16%";"744";"739";"99,33%";"5";"0,68%";"314";"104";"33.12";"210";"66,88%";"33.12";33.120
"MULTIPOLYGON (((-58.3850386271316 -34.6051839631136,-58.3849010800801 -34.6051751427688,-58.3837354593592 -34.6051072083773,-58.3836200555909 -34.6051005840969,-58.3836145402619 -34.6051683295188,-58.3835814172853 -34.6062358828317,-58.3837086576186 -34.6062470220212,-58.3848798918541 -34.6063405949985,-58.3849924012385 -34.6063474979446,-58.3850104661725 -34.606247576175,-58.3850357398224 -34.6052662178536,-58.3850386271316 -34.6051839631136)))";;"7";1_12_4;COMUNA 1;"12";"4";"393";"168";"225";"74,67%";"341";"339";"99,41%";"2";"0,59%";"209";"110";"52.63";"99";"47,37%";"52.63";52.630
"MULTIPOLYGON (((-58.3849924012385 -34.6063474979446,-58.3849775043957 -34.6064295337428,-58.3849175459365 -34.6074293211404,-58.384915750147 -34.6075282672978,-58.3853801027268 -34.6075570142009,-58.3863094085717 -34.6076107001248,-58.3863082260692 -34.6075068223234,-58.3863667428641 -34.6065750640247,-58.3863766643457 -34.6064369665352,-58.3864507682089 -34.6054100734026,-58.3864759318777 -34.6052759292113,-58.3850386271316 -34.6051839631136,-58.3850357398224 -34.6052662178536,-58.3850104661725 -34.606247576175,-58.3849924012385 -34.6063474979446)))";;"8";1_12_5;COMUNA 1;"12";"5";"600";"264";"336";"78,57%";"505";"504";"99,80%";"1";"0,20%";"275";"32";"11.64";"243";"88,36%";"11.64";11.640
"MULTIPOLYGON (((-58.3849924012385 -34.6063474979446,-58.3848798918541 -34.6063405949985,-58.3837086576186 -34.6062470220212,-58.3835814172853 -34.6062358828317,-58.3834501740498 -34.606224459209,-58.3822098512333 -34.606146743032,-58.3820780919728 -34.606140810754,-58.3820706199965 -34.6062928536917,-58.3820223365569 -34.6073386349862,-58.3821656783362 -34.6073479553764,-58.3835088111619 -34.6074415140009,-58.3836478089876 -34.607451181956,-58.384915750147 -34.6075282672978,-58.3849175459365 -34.6074293211404,-58.3849775043957 -34.6064295337428,-58.3849924012385 -34.6063474979446)))";;"9";1_12_6;COMUNA 1;"12";"6";"472";"220";"252";"87,30%";"504";"502";"99,60%";"2";"0,40%";"202";"49";"24.26";"153";"75,74%";"24.26";24.260
"MULTIPOLYGON (((-58.3853801027268 -34.6075570142009,-58.384915750147 -34.6075282672978,-58.3836478089876 -34.607451181956,-58.3835088111619 -34.6074415140009,-58.3834642920474 -34.6085777943952,-58.383607804137 -34.6085895780804,-58.3847076152909 -34.6086748666397,-58.3848659470909 -34.60868820767,-58.385063542564 -34.6087048130407,-58.3861434374438 -34.6087768360617,-58.3862757948893 -34.6087855109042,-58.3863094085717 -34.6076107001248,-58.3853801027268 -34.6075570142009)))";;"10";1_12_7;COMUNA 1;"12";"7";"786";"381";"405";"94,07%";"546";"542";"99,27%";"4";"0,74%";"347";"89";"25.65";"258";"74,35%";"25.65";25.650
"MULTIPOLYGON (((-58.3835088111619 -34.6074415140009,-58.3821656783362 -34.6073479553764,-58.3820223365569 -34.6073386349862,-58.3819705734415 -34.6084581488728,-58.3821682521448 -34.6084756040887,-58.383304086658 -34.608564591177,-58.3834642920474 -34.6085777943952,-58.3835088111619 -34.6074415140009)))";;"11";1_12_8;COMUNA 1;"12";"8";"329";"162";"167";"97,01%";"275";"269";"97,82%";"6";"2,23%";"129";"15";"11.63";"114";"88,37%";"11.63";11.630
"MULTIPOLYGON (((-58.3765022819359 -34.6064175727616,-58.3755796751361 -34.6069005268443,-58.3750016982012 -34.6072030816653,-58.3735708970457 -34.6079405226344,-58.3741102812204 -34.6079759871749,-58.3749168452045 -34.6080296002581,-58.3749815748096 -34.6080338723194,-58.376203091214 -34.6081150994686,-58.3763993259978 -34.6081266472976,-58.3778090820198 -34.6082113013519,-58.3792171355015 -34.6082978394312,-58.3793554537479 -34.6083065962842,-58.3804914787329 -34.6083697636686,-58.3807129318885 -34.6083763917917,-58.3808871085967 -34.6083864386512,-58.3813431177582 -34.6084146319211,-58.3817924837813 -34.6084424669561,-58.3819705734415 -34.6084581488728,-58.3820223365569 -34.6073386349862,-58.3820706199965 -34.6062928536917,-58.3820780919728 -34.606140810754,-58.3821258737033 -34.6051720740155,-58.3821336065038 -34.6050143267812,-58.3821500263271 -34.6046808040886,-58.3822055302283 -34.6037398196994,-58.3820012059012 -34.6037362339015,-58.3818368203459 -34.6038276777867,-58.3814478624643 -34.6038109729291,-58.3813588761753 -34.6038058966159,-58.3812698882648 -34.6038024925778,-58.3811732246622 -34.6036732163594,-58.3809751183048 -34.6036694217223,-58.3809559355612 -34.6040365352609,-58.3805559873505 -34.6042744445584,-58.3803315960928 -34.6044078898133,-58.3794979145934 -34.6048455094925,-58.3793832787935 -34.6048381774772,-58.3793790356703 -34.604907895481,-58.3779572468383 -34.6056541975237,-58.3775080537986 -34.6058899497882,-58.3767247081353 -34.6063011760998,-58.3765022819359 -34.6064175727616)))";;"12";1_12_9;COMUNA 1;"12";"9";"1356";"650";"706";"92,07%";"895";"885";"98,88%";"10";"1,13%";"342";"57";"16.67";"285";"83,33%";"16.67";16.670
"MULTIPOLYGON (((-58.3631786307544 -34.5982184640541,-58.3630064324989 -34.5987105253208,-58.3629538825684 -34.5988606796647,-58.3629201189734 -34.5989571542864,-58.3609335449723 -34.6045753135767,-58.3615360785252 -34.6046371431964,-58.3630771584802 -34.6004046734473,-58.3637421519057 -34.6004498027802,-58.3638010173176 -34.600453797465,-58.363379292511 -34.6047921843211,-58.3635901655788 -34.6048053140177,-58.364531685486 -34.6048641054814,-58.3646484504873 -34.6048858865625,-58.3647352256481 -34.6049266368489,-58.3647988424714 -34.6049721544449,-58.3648421922254 -34.6050248346809,-58.3648768818272 -34.6050910812567,-58.3653409469768 -34.6051295524338,-58.3655360606063 -34.6051456944727,-58.3655677420817 -34.6051483254279,-58.3663802043931 -34.6051549556421,-58.3666389232824 -34.605187864968,-58.3667123440125 -34.6052139508504,-58.366743766331 -34.605263139756,-58.3668008692195 -34.6053093067786,-58.3668241442461 -34.6053224891703,-58.3668696054827 -34.6053297549122,-58.3669046036446 -34.6053109843227,-58.3669221417363 -34.6052676179238,-58.3669501379131 -34.6052546258467,-58.3669542469024 -34.605252594145,-58.3670288351346 -34.6052546875788,-58.3671057918147 -34.6052475178686,-58.3672160788132 -34.6051507218505,-58.3672878004846 -34.6051334258891,-58.3673490010819 -34.6051407037594,-58.3679211414675 -34.6051742616164,-58.3680475302255 -34.6040560083767,-58.3681856739856 -34.6028332257345,-58.3681856788079 -34.6028331830494,-58.3681857027326 -34.6028329712761,-58.3683133749384 -34.6017031685898,-58.3683895118626 -34.601029540133,-58.3686314657978 -34.6004359016709,-58.3690724057256 -34.5993540871286,-58.369129874784 -34.5992191965076,-58.3695123426163 -34.5983212859799,-58.3689420995479 -34.5983685974648,-58.3681163318431 -34.5984371881812,-58.3679807014699 -34.5984018703661,-58.367777702989 -34.5982929760833,-58.3673594031048 -34.5982597613951,-58.3666064564148 -34.5983250183593,-58.366221100126 -34.5983057699015,-58.3659609314573 -34.5982928169568,-58.3650687183131 -34.5982276672882,-58.3640886223846 -34.5981561722634,-58.3638616777082 -34.5981361991659,-58.3637307296019 -34.5981044016808,-58.3632336651729 -34.5980613902626,-58.3631786307544 -34.5982184640541),(-58.3648082800618 -34.5990255875953,-58.364696003996 -34.6000625086033,-58.3638891678704 -34.6000018342418,-58.3640016353561 -34.5989753584616,-58.3648082800618 -34.5990255875953)))";;"13";1_13_1;COMUNA 1;"13";"1";"586";"364";"222";"163,96%";"404";"402";"99,50%";"2";"0,50%";"163";"1";"0.61";"162";"99,39%";"0.61";0.610
